"Field","Declaration","DeclarationCount","TotalReferences","UsedElsewhere","Recommendation"
"_expiryMonth","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_expiryYear","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_externalConfig","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_fadeInAnimation","D:/CODE/Cshp/SOUP/src/Windows/SplashWindow.xaml.cs:14","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_fadeOutAnimation","D:/CODE/Cshp/SOUP/src/Windows/SplashWindow.xaml.cs:15","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_filePath","D:/CODE/Cshp/SOUP/src/Services/NavOrderService.cs:15","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_fileService","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddyViewModel.cs:44,...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_filteredItems","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_filteredStores","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_filterEssentialOnly","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_filterPrivateLabelOnly","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_floatingAdorner","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:34","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_floatingFixedLeft","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:36","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_found","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_foundCount","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_goodItems","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:40","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_groupByStore","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:195","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_hasData","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:133","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_hasMedia","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:38","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_hasNoData","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddyViewModel.cs:124","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_hasUnarchivedChanges","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:91","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_httpClient","D:/CODE/Cshp/SOUP/src/Services/UpdateService.cs:16","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_hwndSource","D:/CODE/Cshp/SOUP/src/Windows/OrderLogWidgetWindow.xaml.cs:33","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_image","D:/CODE/Cshp/SOUP/src/Behaviors/FloatingAdorner.cs:11","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_includeAllPrivateLabel","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddyViewModel.cs:102","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_includeDescriptionsInCopy","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_iniConfigPath","D:/CODE/Cshp/SOUP/src/Services/ModuleConfiguration.cs:71","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_inputSku","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isAppBarRegistered","D:/CODE/Cshp/SOUP/src/Windows/OrderLogWidgetWindow.xaml.cs:29","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isArchivePanelOpen","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:474","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isDarkMode","D:/CODE/Cshp/SOUP/src/Services/ThemeService.cs:41, D:/CODE/Cshp/...","4","0","-4","Candidate - manual verify (XAML/reflection)"
"_isDragging","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:29","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isEditMode","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_isGenerating","D:/CODE/Cshp/SOUP/src/ViewModels/SwiftLabelViewModel.cs:59","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isInitialized","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_isLinkMode","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:30","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isLoading","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs...","4","0","-4","Candidate - manual verify (XAML/reflection)"
"_isPlaying","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:37","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isRunningOnSeparateThread","D:/CODE/Cshp/SOUP/src/Windows/OrderLogWidgetWindow.xaml.cs:468","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isSelected","D:/CODE/Cshp/SOUP/src/Models/NavItem.cs:75","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isSyncing","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_isUpdateAvailable","D:/CODE/Cshp/SOUP/src/ViewModels/MainWindowViewModel.cs:41","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isUpdated","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isVerified","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_isVisible","D:/CODE/Cshp/SOUP/src/Models/NavItem.cs:69","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_itemNumber","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_items","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_itemSearchText","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_itemSortBy","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_itemSortDescending","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_itemToAddToDict","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_itemTotalsSortMode","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:214","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_jsonConfigPath","D:/CODE/Cshp/SOUP/src/Services/ModuleConfiguration.cs:72","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_keepWidgetRunning","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:49","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lastDeactivation","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:101","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lastImportedFileName","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:96","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lastMousePos","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:37","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lastSavedDisplay","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:183","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lastTrackKey","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:40","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lastUpdated","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:42","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lastUserAction","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:42","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_launchWidgetOnStartup","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:43","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_left","D:/CODE/Cshp/SOUP/src/Behaviors/FloatingAdorner.cs:12","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_loadDictionariesCts","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:71","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_locationDistribution","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:22","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lock","D:/CODE/Cshp/SOUP/src/Services/WidgetProcessService.cs:19, D:/CO...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_logger","D:/CODE/Cshp/SOUP/src/Services/AppLifecycleService.cs:19, D:/COD...","12","0","-12","Candidate - manual verify (XAML/reflection)"
"_logoAnimation","D:/CODE/Cshp/SOUP/src/Windows/SplashWindow.xaml.cs:16","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_lowStockThreshold","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_maximumThreshold","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:36","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_minimumThreshold","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:33","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_moduleConfig","D:/CODE/Cshp/SOUP/src/ViewModels/LauncherViewModel.cs:20","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_monthItemCount","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:143","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_monthlyData","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:16","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_monthTotalUnits","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:149","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_mostCommonLocation","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:46","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_mySqlService","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:16","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_mySqlTestResult","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:34","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_mySqlTestSuccess","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:40","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_navigationService","D:/CODE/Cshp/SOUP/src/ViewModels/LauncherViewModel.cs:17","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_navOrderService","D:/CODE/Cshp/SOUP/src/ViewModels/MainWindowViewModel.cs:26","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newDictDescription","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newDictItemNumber","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newItemDescription","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_newItemIsEssential","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newItemIsPrivateLabel","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newItemNumber","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_newItemSkus","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newItemTags","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newStoreCode","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newStoreId","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_newStoreName","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_newStoreRank","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_nextExpiringDays","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:52","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_nextExpiringItem","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:49","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_notFoundCount","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_notifyIcon","D:/CODE/Cshp/SOUP/src/Services/TrayIconService.cs:18","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_orderLogHandler","D:/CODE/Cshp/SOUP/src/ViewModels/UnifiedSettingsViewModel.cs:40","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_outOfStockThreshold","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_parsedItems","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_parser","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_pasteText","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:148","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_pollTimer","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:41","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_privateLabelOnly","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddyViewModel.cs:96","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_progressAnimation","D:/CODE/Cshp/SOUP/src/Windows/SplashWindow.xaml.cs:17","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_progressHandler","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quantity","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_quantityOnHand","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:30","1","0","-1","Candidate - manual verify (XAML/reflection)"
